,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
104,01/01/2021 01:00,329,"Prince Albert Road, The Regent's Park",21-01-01 00:16,386,"Moor Street, Soho",51.51352755,-0.130110822,51.53589283,-0.160854428
103,01/01/2021 00:38,626,"Normand Park, West Kensington",21-01-01 00:16,626,"Normand Park, West Kensington",51.48438657,-0.20481514,51.48438657,-0.20481514
108,01/01/2021 00:43,762,"Storey's Gate, Westminster",21-01-01 00:16,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50070305,-0.129698963
124,01/01/2021 00:35,301,"Marylebone Lane, Marylebone",21-01-01 00:17,301,"Marylebone Lane, Marylebone",51.51475963,-0.148105415,51.51475963,-0.148105415
129,01/01/2021 00:21,769,"Sandilands Road, Walham Green",21-01-01 00:17,636,"South Park, Sands End",51.46706414,-0.193502076,51.473611,-0.191803
128,01/01/2021 00:42,668,"Ravenscourt Park Station, Hammersmith",21-01-01 00:17,657,"Blythe Road West, Shepherd's Bush",51.49968,-0.221791551,51.49422354,-0.236769936
127,01/01/2021 00:27,478,"Stepney Green Station, Stepney",21-01-01 00:17,115,"Braham Street, Aldgate",51.51423368,-0.073537654,51.521889,-0.04667
126,01/01/2021 00:30,136,"Queen Victoria Street, St. Paul's",21-01-01 00:17,126,"Museum of London, Barbican",51.51782144,-0.096496865,51.51196176,-0.097441687
125,01/01/2021 00:34,301,"Marylebone Lane, Marylebone",21-01-01 00:17,301,"Marylebone Lane, Marylebone",51.51475963,-0.148105415,51.51475963,-0.148105415
123,01/01/2021 00:45,762,"Storey's Gate, Westminster",21-01-01 00:17,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50070305,-0.129698963
116,01/01/2021 00:47,541,"Green Park Station, Mayfair",21-01-01 00:17,191,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,51.506613,-0.142844
121,01/01/2021 00:41,762,"Storey's Gate, Westminster",21-01-01 00:17,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50070305,-0.129698963
120,01/01/2021 00:40,762,"Storey's Gate, Westminster",21-01-01 00:17,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50070305,-0.129698963
119,01/01/2021 00:24,61,"Great Dover Street, The Borough",21-01-01 00:17,732,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,51.49738251,-0.089446947
118,01/01/2021 00:24,61,"Great Dover Street, The Borough",21-01-01 00:17,732,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,51.49738251,-0.089446947
117,01/01/2021 00:47,222,"Knightsbridge, Hyde Park",21-01-01 00:17,191,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,51.50275704,-0.155349725
122,01/01/2021 00:44,762,"Storey's Gate, Westminster",21-01-01 00:17,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50070305,-0.129698963
143,01/01/2021 02:57,226,"Charles II Street, West End",21-01-01 00:18,226,"Charles II Street, West End",51.50844614,-0.131961389,51.50844614,-0.131961389
142,01/01/2021 00:35,302,"Putney Pier, Wandsworth",21-01-01 00:18,693,"Felsham Road, Putney",51.464786,-0.215618902,51.466907,-0.216573
141,01/01/2021 00:35,302,"Putney Pier, Wandsworth",21-01-01 00:18,693,"Felsham Road, Putney",51.464786,-0.215618902,51.466907,-0.216573
140,01/01/2021 00:33,614,"Bradmead, Battersea Park",21-01-01 00:18,614,"Bradmead, Battersea Park",51.54119,-0.058826101,51.54119,-0.058826101
138,01/01/2021 01:01,172,"Sumner Place, South Kensington",21-01-01 00:18,374,"Waterloo Station 1, Waterloo",51.50402794,-0.11386436,51.49121192,-0.173715911
137,01/01/2021 01:01,172,"Sumner Place, South Kensington",21-01-01 00:18,374,"Waterloo Station 1, Waterloo",51.50402794,-0.11386436,51.49121192,-0.173715911
139,01/01/2021 01:39,153,"Bayswater Road, Hyde Park",21-01-01 00:18,354,"Northumberland Avenue, Strand",51.506767,-0.123702,51.511933,-0.174411
135,01/01/2021 00:53,192,"Wardour Street, Soho",21-01-01 00:18,280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,51.51251523,-0.133201961
134,01/01/2021 02:18,71,"Newgate Street , St. Paul's",21-01-01 00:18,130,"Tower Gardens , Tower",51.50950627,-0.075459482,51.5154186,-0.098850915
133,01/01/2021 00:46,29,"Hereford Road, Bayswater",21-01-01 00:18,424,"Ebury Bridge, Pimlico",51.490491,-0.149186,51.513735,-0.193487
132,01/01/2021 00:26,508,"Fournier Street, Whitechapel",21-01-01 00:18,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,51.519362,-0.074431
131,01/01/2021 00:45,784,"East Village, Queen Elizabeth Olympic Park",21-01-01 00:18,495,"Bow Church Station, Bow",51.528169,-0.018703,51.546326,-0.00993526
130,01/01/2021 00:45,784,"East Village, Queen Elizabeth Olympic Park",21-01-01 00:18,495,"Bow Church Station, Bow",51.528169,-0.018703,51.546326,-0.00993526
136,01/01/2021 00:43,154,"Waterloo Station 3, Waterloo",21-01-01 00:18,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
149,01/01/2021 01:40,153,"Bayswater Road, Hyde Park",21-01-01 00:19,354,"Northumberland Avenue, Strand",51.506767,-0.123702,51.511933,-0.174411
148,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:19,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
147,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:19,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
145,01/01/2021 00:49,815,"Lambeth Palace Road, Waterloo",21-01-01 00:19,541,"Green Park Station, Mayfair",51.506613,-0.142844,51.5000892,-0.116628701
144,01/01/2021 00:28,221,"Horseferry Road, Westminster",21-01-01 00:19,583,"Abingdon Green, Westminster",51.49764,-0.12597218,51.49481649,-0.13045856
146,01/01/2021 00:39,699,"Belford House, Haggerston",21-01-01 00:19,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,51.5366541,-0.07023031
156,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:20,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
160,01/01/2021 00:50,733,"Park Lane, Mayfair",21-01-01 00:20,257,"Westminster University, Marylebone",51.52248185,-0.154907218,51.50542628,-0.150817316
158,01/01/2021 00:44,818,"Westminster Pier, Westminster",21-01-01 00:20,432,"Exhibition Road Museums 1, South Kensington",51.496468,-0.17379696,51.501513,-0.12382322
157,01/01/2021 00:43,154,"Waterloo Station 3, Waterloo",21-01-01 00:20,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
155,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:20,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
159,01/01/2021 00:44,818,"Westminster Pier, Westminster",21-01-01 00:20,432,"Exhibition Road Museums 1, South Kensington",51.496468,-0.17379696,51.501513,-0.12382322
153,01/01/2021 00:23,287,"Bedford Way, Bloomsbury",21-01-01 00:20,11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,51.52367314,-0.128377673
152,01/01/2021 00:39,699,"Belford House, Haggerston",21-01-01 00:20,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,51.5366541,-0.07023031
151,01/01/2021 00:47,815,"Lambeth Palace Road, Waterloo",21-01-01 00:20,541,"Green Park Station, Mayfair",51.506613,-0.142844,51.5000892,-0.116628701
154,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:20,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
150,01/01/2021 00:23,410,"Edgware Road Station, Marylebone",21-01-01 00:20,45,"Boston Place, Marylebone",51.522511,-0.162298,51.519968,-0.169774
161,01/01/2021 01:32,64,"William IV Street, Strand",21-01-01 00:21,298,"Curlew Street, Shad Thames",51.50227992,-0.074189225,51.50946212,-0.124749274
162,01/01/2021 00:48,815,"Lambeth Palace Road, Waterloo",21-01-01 00:21,541,"Green Park Station, Mayfair",51.506613,-0.142844,51.5000892,-0.116628701
163,01/01/2021 00:28,503,"Cleveland Way, Stepney",21-01-01 00:21,565,"Selby Street, Whitechapel",51.521905,-0.063386,51.520893,-0.051394
173,01/01/2021 01:26,173,"Waterloo Road, South Bank",21-01-01 00:22,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.50486,-0.113001
171,01/01/2021 00:40,426,"Vincent Street, Pimlico",21-01-01 00:22,680,"Westbridge Road, Battersea",51.47768469,-0.170329317,51.493072,-0.129925
170,01/01/2021 00:45,213,"Wellington Arch, Hyde Park",21-01-01 00:22,818,"Westminster Pier, Westminster",51.501513,-0.12382322,51.50274025,-0.149569201
